message_id,action,message_type,reason,confidence,evidence_message_ids
msg_067,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
msg_039,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0002
msg_082,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0218
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0402
msg_049,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.88,message_0153
msg_015,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0085
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0257
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.88,message_0054
msg_089,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.88,none
msg_053,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.85,message_0411
msg_059,mute,scam,The message promises unrealistic rewards or winnings to pressure the user into responding.,0.86,message_0023
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0257
msg_072,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0085
msg_036,mute,scam,The sender is impersonating a known brand from a domain that does not match the official one.,0.87,message_0283
msg_076,mute,scam,The sender is impersonating a known brand from a domain that does not match the official one.,0.87,message_0159
msg_055,notify,urgent,The sender directly asks this user for a response or action.,0.88,message_0165
msg_102,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0230
msg_080,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
msg_093,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0347
msg_034,mute,greeting,The user has muted this group and the message contains no direct mention or urgent action for them.,0.85,message_0013
msg_035,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.84,message_0281
msg_101,digest,personal,"The update is relevant to the user but arrived inside their quiet hours, so it can wait.",0.88,message_0229
msg_041,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.85,message_0137
msg_011,mute,greeting,The user has muted this group and the message contains no direct mention or urgent action for them.,0.85,message_0013
msg_110,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0238
msg_095,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.89,message_0024
msg_074,mute,scam,The message promises unrealistic rewards or winnings to pressure the user into responding.,0.86,message_0203
msg_073,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.88,message_0024
msg_054,mute,scam,The message promises unrealistic rewards or winnings to pressure the user into responding.,0.86,message_0163
msg_068,digest,personal,The message is safe casual chat with no urgent action required.,0.86,message_0191
msg_100,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.89,message_0228
msg_062,notify,event,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.88,message_0001
msg_096,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.89,none
msg_043,mute,forward,The chain forward has circulated widely and carries no verified or personally relevant information.,0.82,message_0001;message_0029
msg_077,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0403
msg_081,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.88,message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.89,message_0004
msg_084,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0220
msg_022,notify,payment,A legitimate payment or money request needs the user to act within a short window.,0.89,message_0099
